Time,0_ET1,0_ET2,0_ET3,0_ET4,0_ET5,0_ET6,0_ET7,0_ET8,0_ET9,0_WT1,0_WT2,0_WT3,0_WT4,0_WT5,0_WT6,0_WT7,0_WT8,0_WT9,1_CH1,1_CH2,1_CH3,1_CH4,1_CT1,1_CT10,1_CT11,1_CT12,1_CT14,1_CT15,1_CT16,1_CT2,1_CT3,1_CT4,1_CT5,1_CT6,1_CT7,1_CT8,1_CT9,1_EH1,1_EH2,1_EH3,1_ER1,1_ER2,1_ET1,1_ET2,1_ET3,1_ET4,1_ET5,1_ET6,1_ET7,1_ET8,1_ET9,1_FH1,1_FH2,1_FR1,1_FR10,1_FR11,1_FR12,1_FR13,1_FR2,1_FR3,1_FR4,1_FR5,1_FR6,1_FR7,1_FR8,1_FR9,1_NH1,1_NT1,1_NT2,1_NT3,1_NT4,1_NT5,1_NT6,1_NT7,1_NT8,1_NT9,1_SH1,1_ST1,1_ST2,1_ST3,1_ST4,1_ST5,1_ST6,1_ST7,1_ST8,1_ST9,1_VI,1_VO,1_WR1,1_WT1,1_WT10,1_WT2,1_WT3,1_WT4,1_WT5,1_WT6,1_WT7,1_WT8,1_WT9,2_CH1,2_CH2,2_CH3,2_CH4,2_CT1,2_CT10,2_CT11,2_CT12,2_CT13,2_CT14,2_CT15,2_CT2,2_CT3,2_CT4,2_CT5,2_CT6,2_CT7,2_CT8,2_CT9,2_EH1,2_ET1,2_ET10,2_ET2,2_ET3,2_ET4,2_ET5,2_ET6,2_ET7,2_ET8,2_ET9,2_FH1,2_FH2,2_FT1,2_FT10,2_FT11,2_FT12,2_FT13,2_FT2,2_FT3,2_FT4,2_FT5,2_FT6,2_FT7,2_FT8,2_FT9,2_NH1,2_NT1,2_NT2,2_NT3,2_NT4,2_NT5,2_NT6,2_NT7,2_NT8,2_NT9,2_SH1,2_ST1,2_ST2,2_ST3,2_ST4,2_ST5,2_ST6,2_ST7,2_ST8,2_ST9,2_VI,2_VO,2_WH1,2_WH2,2_WH3,2_WT1,2_WT10,2_WT11,2_WT2,2_WT3,2_WT4,2_WT5,2_WT6,2_WT7,2_WT8,2_WT9,An_in_Vel_E,An_in_Vel_W,An_out_Temp_E,An_out_Temp_W,An_out_Vel_E,An_out_Vel_W,EO1,EO10,EO11,EO12,EO13,EO14,EO15,EO16,EO17,EO18,EO19,EO2,EO20,EO21,EO22,EO23,EO24,EO25,EO3,EO4,EO5,EO6,EO7,EO8,EO9,FO1,FO2,RO1,RO2,RO3,RO4,WO1,WO10,WO11,WO12,WO13,WO14,WO15,WO16,WO17,WO18,WO19,WO2,WO20,WO21,WO22,WO23,WO24,WO25,WO3,WO4,WO5,WO6,WO7,WO8,WO9,WinO1,WinO2
08:28,22.153,23.204,23.378,22.974,22.376,23.306,23.104,23.0,22.936,23.32,22.86,23.684,23.484,22.575,23.235,23.924,24.457,30.67,-0.000166009,0.00148357,0.001662518,0.001975402,23.197,24.739,24.804,23.017,24.492,24.561,24.496,23.445,23.493,24.926,24.953,24.963,23.336,23.387,24.77,-0.000355132,-0.000384551,-0.000451021,22.547,22.606,22.904,23.248,23.348,23.532,23.752,23.837,23.33,23.899,23.443,0.000964199,-0.001280513,20.167,23.058,23.135,24.672,50.309,-11.585,-9.900000000000001e+37,-73.059,282.487,155.483,-9.900000000000001e+37,179.333,176.653,-0.002052383,22.638,22.675,22.912,22.209,21.748,19.728,22.73,-21.261,17.885,-0.003321362,22.641,22.593,22.83,19.519,19.275,21.197,22.489,-9.900000000000001e+37,21.598,24.979,22.495,23.197,23.493,-9.900000000000001e+37,23.388,23.535,23.566,23.431,23.109,23.211,23.251,23.095,0.004644814,0.006389621,0.003357665,0.004205406,23.738,25.013,25.012,24.106,24.951,24.886,24.88,23.988,23.972,24.878,24.93,24.968,24.056,24.161,24.99,0.004740482,23.844,24.543,23.927,23.979,24.297,24.27,24.242,24.542,24.554,24.577,0.004428041,0.00380382,42.699,364.808,-9.900000000000001e+37,-9.900000000000001e+37,330.214,121.253,24.951,320.497,172.854,23.662,23.943,23.781,201.774,0.005857417,24.021,23.898,24.193,22.445,22.822,24.243,23.065,22.966,23.28,0.003714567,23.82,23.767,24.003,22.406,17.884,22.202,20.505,23.857,23.292,24.932,23.114,-0.000363538,-0.000381897,-0.00044339,22.902,23.936,24.012,23.155,22.78,23.65,23.494,23.867,24.371,24.037,24.148,-1.285e-07,4.28e-08,-1.285e-07,0.0,-2.14e-08,-6.43e-08,30.163,21.766,22.904,28.543,46.57,23.364,18.528,26.676,24.614,30.672,46.747,30.179,21.445,26.002,24.398,29.763,45.85,21.973,33.402,48.512,21.074,25.974,24.576,31.747,47.415,15.808,15.91,21.95,22.293,14.739,15.553,14.34,14.808,14.846,14.919,15.655,14.839,14.751,15.224,15.053,15.188,16.239,14.443,15.038,14.565,14.803,15.054,16.245,15.402,14.655,16.184,14.813,14.749,14.856,14.928,16.2,19.186,17.858
08:29,22.13,23.262,23.505,22.956,22.092,23.351,23.203,22.98,22.875,23.35,22.809,23.729,23.481,22.333,23.234,23.877,24.084,29.599,-0.008952082,0.010940095,0.001083756,-0.007613284,23.184,24.749,24.76,23.034,24.493,24.613,24.521,23.392,23.461,24.981,24.994,24.947,23.336,23.355,24.75,-0.000355575,-0.000380017,-0.000518818,22.199,22.596,22.965,23.224,23.383,23.54,23.736,23.899,23.33,23.891,23.425,-0.003867527,-0.033703838,140.299,22.717,23.143,24.664,205.031,132.446,198.446,-9.900000000000001e+37,256.842,9.900000000000001e+37,-9.900000000000001e+37,-9.900000000000001e+37,186.087,-0.011271226,22.686,22.656,22.999,22.262,21.753,19.813,22.719,-9.900000000000001e+37,17.842,0.013354394,22.629,22.638,22.871,19.443,19.201,21.192,22.51,-9.900000000000001e+37,21.573,24.939,21.981,23.112,23.48,66.902,23.399,23.537,23.603,23.393,21.908,23.216,23.254,23.095,-0.008015642,0.016513942,0.009869277,0.00215391,23.7,25.059,25.018,24.093,24.97,24.92,24.855,23.975,23.982,24.859,24.858,24.995,24.088,24.139,24.986,0.01883364,23.877,24.48,23.93,23.96,24.337,24.253,24.201,24.55,24.576,24.547,-0.001726004,-0.011404718,124.572,9.900000000000001e+37,9.900000000000001e+37,-9.900000000000001e+37,-9.900000000000001e+37,130.099,24.972,110.635,53.91,23.591,23.927,23.8,-9.900000000000001e+37,0.026424811,24.049,23.924,24.149,22.456,22.833,24.237,23.054,22.985,23.191,0.004182068,23.848,23.786,23.97,22.403,17.917,22.185,20.463,23.882,23.275,24.953,22.914,-0.000364312,-0.000385768,-0.000413196,22.925,23.963,23.95,23.214,22.601,23.639,23.48,23.876,24.303,24.018,24.202,-1.285e-07,-4.28e-08,-1.714e-07,4.28e-08,-8.57e-08,2.14e-08,30.365,21.237,23.01,28.606,46.837,23.394,18.678,26.793,24.832,30.815,47.382,30.338,21.377,26.124,24.483,29.896,46.2,21.67,33.503,48.95,20.765,26.112,24.645,31.8,47.969,15.881,16.188,22.463,22.77,14.668,15.675,14.397,14.939,14.903,14.878,15.685,14.927,14.707,15.273,15.083,15.239,16.308,14.517,14.653,14.587,14.839,15.136,16.322,15.473,14.781,16.252,14.851,14.809,14.947,14.901,16.235,19.241,17.965
08:30,22.086,23.184,23.35,22.898,21.802,23.287,23.2,22.903,22.798,23.306,22.697,23.712,23.483,22.185,23.172,23.855,23.734,29.354,0.003223952,-0.012875681,-0.00930821,-0.013489614,23.208,24.726,24.817,23.044,24.486,24.599,24.563,23.381,23.443,24.996,25.023,24.957,23.312,23.39,24.755,-0.000390745,-0.000411095,-0.000537841,21.747,22.533,22.952,23.139,23.322,23.545,23.725,23.877,23.332,23.729,23.374,0.00210956,-0.015462142,104.119,22.14,23.127,24.649,10.205,69.197,120.699,97.301,-9.900000000000001e+37,-28.45,9.900000000000001e+37,-66.926,-9.900000000000001e+37,0.006078504,22.678,22.662,22.951,22.23,21.788,19.819,22.62,397.414,17.762,-0.01434795,22.613,22.521,22.866,19.494,19.214,21.197,22.438,9.900000000000001e+37,21.573,24.952,21.347,23.016,23.472,291.507,23.351,23.537,23.611,23.343,20.904,23.203,23.246,23.002,0.010537848,-0.00217205,-0.039902776,-0.029600852,23.668,25.062,25.063,24.105,24.967,24.952,24.895,23.944,23.957,24.829,24.892,24.963,24.073,24.164,25.017,-0.069027328,23.872,24.47,23.944,23.918,24.291,24.262,24.19,24.49,24.541,24.544,0.057138657,0.02218169,195.723,-9.900000000000001e+37,149.531,9.900000000000001e+37,-40.235,236.632,24.94,193.856,9.900000000000001e+37,23.478,23.932,23.775,126.629,-0.029110236,23.959,23.904,24.116,22.456,22.81,24.289,23.065,22.96,23.333,-0.00106875,23.825,23.764,23.987,22.406,17.912,22.21,20.485,23.87,23.303,24.898,22.608,-0.000368515,-0.000396496,-0.000476791,22.883,23.95,23.947,23.178,22.285,23.619,23.407,23.881,24.325,24.002,24.175,-4.28e-08,1.071e-07,2.14e-08,-1.928e-07,-1.071e-07,-8.57e-08,30.437,21.794,23.049,28.644,47.305,24.084,18.651,26.804,24.822,30.85,47.734,30.466,21.413,26.252,24.627,29.962,46.389,22.044,33.641,49.007,21.194,26.154,24.448,31.896,48.252,15.917,16.022,22.564,23.109,14.733,15.509,14.315,14.917,14.983,14.962,15.756,14.919,14.808,15.281,15.094,15.308,16.371,14.544,15.161,14.666,14.921,15.163,16.355,15.478,14.759,16.337,14.93,14.853,14.968,15.007,16.265,19.266,17.735
08:31,22.044,23.204,23.199,22.765,21.631,23.249,23.137,22.809,22.737,23.213,22.582,23.701,23.452,22.067,23.071,23.86,23.547,29.247,0.013374042,0.004249092,0.01004723,0.023116913,23.171,24.755,24.801,23.003,24.524,24.574,24.502,23.44,23.432,24.932,24.992,24.944,23.307,23.366,24.745,-0.000373934,-0.000417399,-0.00060962,21.54,22.433,22.896,23.096,23.322,23.505,23.765,23.835,23.311,23.649,23.246,-0.022331537,-0.010557422,-9.900000000000001e+37,21.953,23.127,24.569,-40.023,-148.409,-9.900000000000001e+37,-20.568,190.996,-9.900000000000001e+37,-107.723,9.900000000000001e+37,-61.504,-0.010914103,22.587,22.666,22.925,22.21,21.787,19.808,22.552,-68.115,17.9,-0.008744362,22.568,22.489,22.841,19.51,19.223,21.211,22.404,67.747,21.601,24.926,21.213,22.858,23.467,-9.900000000000001e+37,23.292,23.5,23.526,23.348,20.428,23.173,23.222,22.962,0.008352525,0.016738015,0.01881329,0.009780577,23.635,25.076,25.006,24.093,24.997,24.946,24.87,23.96,23.939,24.82,24.884,24.974,24.053,24.089,24.983,-0.01276276,23.818,24.486,23.938,23.924,24.272,24.191,24.144,24.202,24.5,24.542,0.045326149,0.014508344,188.082,211.115,-9.900000000000001e+37,103.842,9.900000000000001e+37,187.497,24.846,16.317,324.47,23.384,23.913,23.756,9.900000000000001e+37,0.009245279,23.934,23.843,24.103,22.482,22.808,24.229,23.065,22.985,23.266,0.24546935,23.831,23.686,23.948,22.42,17.942,22.174,20.48,23.887,23.247,24.834,22.483,-0.00036763,-0.000397602,-0.000545583,22.913,23.894,23.927,23.133,21.983,23.625,23.374,23.842,24.284,24.005,24.151,-4.28e-08,-2.14e-08,-8.57e-08,-2.14e-08,1.285e-07,-8.57e-08,30.535,21.679,22.994,28.662,47.422,24.312,18.577,26.838,24.752,30.921,48.065,30.493,21.574,26.313,24.553,30.048,46.586,22.847,33.678,49.295,21.836,26.085,24.066,32.002,48.459,15.985,16.218,23.073,23.411,14.796,15.824,14.37,14.942,14.966,15.036,15.802,14.872,14.814,15.33,15.13,15.324,16.431,14.634,15.161,14.71,14.971,15.284,16.404,15.437,14.77,16.378,14.966,14.902,14.897,15.057,16.372,19.268,17.782
08:32,22.022,23.182,23.235,22.782,21.496,23.224,23.098,22.828,22.729,23.218,22.551,23.611,23.438,21.942,23.024,23.822,23.544,28.952,-0.011003135,0.00028092,-0.008282516,-0.008061098,23.187,24.739,24.76,22.981,24.503,24.585,24.523,23.379,23.398,24.968,25.013,24.952,23.296,23.337,24.76,-0.000381123,-0.0004341,-0.000624219,21.407,22.422,22.925,23.096,23.3,23.529,23.738,23.8,23.308,23.54,23.166,0.0269955,0.013482539,141.231,21.871,23.055,24.456,-143.806,40.127,116.055,-9.900000000000001e+37,9.900000000000001e+37,184.272,-9.900000000000001e+37,-9.900000000000001e+37,41.971,0.005230987,22.598,22.639,23.01,22.277,21.822,19.851,22.451,7.115,17.828,-0.005831033,22.533,22.529,22.841,19.479,19.259,21.213,22.473,-95.143,21.59,24.788,21.334,22.902,23.475,118.129,23.279,23.452,23.513,23.332,20.662,23.128,23.169,23.013,-0.015017646,0.025969033,0.048669994,0.034041308,23.632,25.081,25.028,24.061,24.948,24.946,24.838,23.887,23.945,24.839,24.84,24.952,24.091,24.108,24.953,0.051212881,23.887,24.403,23.922,23.903,24.307,24.192,24.142,24.016,24.524,24.555,-0.010824629,0.041280111,83.794,48.921,361.248,33.38,-184.814,-115.697,24.733,-9.900000000000001e+37,-9.900000000000001e+37,23.18,23.863,23.725,-47.13,0.024052356,23.936,23.844,24.032,22.47,22.868,24.184,23.071,23.06,23.192,-0.565939,23.761,23.624,23.918,22.389,17.99,22.174,20.471,23.887,23.255,24.729,21.973,-0.000375261,-0.000418837,-0.000693564,22.891,23.787,23.81,23.102,21.619,23.51,23.329,23.87,24.252,23.969,24.181,-2.14e-08,4.28e-08,-1.071e-07,8.57e-08,4.28e-08,-4.28e-08,30.46,20.83,23.051,28.575,47.471,24.328,18.987,26.849,24.699,30.935,48.291,30.57,21.093,26.35,24.731,30.042,46.599,22.659,33.755,49.224,21.033,26.099,24.323,32.058,48.643,15.982,16.273,22.813,23.401,14.976,15.82,14.46,15.026,15.045,15.033,15.819,14.943,14.827,15.396,15.19,15.371,16.48,14.664,14.724,14.762,14.953,15.256,16.513,15.511,14.876,16.402,14.99,14.921,15.091,15.089,16.38,19.309,18.126
08:33,22.014,23.19,23.171,22.727,21.532,23.196,23.101,22.845,22.704,23.342,22.526,23.58,23.424,21.942,23.027,23.805,23.516,29.271,0.007238134,0.000832255,0.011385476,0.009556725,23.232,24.708,24.799,22.967,24.497,24.548,24.512,23.371,23.408,24.955,25.013,24.918,23.296,23.331,24.765,-0.00040457,-0.000400146,-0.00060785,21.424,22.411,22.917,22.941,23.244,23.527,23.752,23.763,23.29,23.486,23.137,-0.006097197,0.023924725,59.675,21.929,23.098,24.394,-9.900000000000001e+37,-3.328,23.119,169.515,-9.900000000000001e+37,242.487,9.900000000000001e+37,-9.900000000000001e+37,-106.046,-0.001370208,22.598,22.565,22.973,22.288,21.856,19.813,22.353,69.26,17.85,-0.023224224,22.544,22.422,22.814,19.543,19.264,21.242,22.401,9.900000000000001e+37,21.598,24.706,21.257,22.844,23.44,-126.805,23.266,23.458,23.513,23.324,21.072,23.107,23.158,22.954,0.002019641,-0.025853771,-0.021512221,-0.037985107,23.635,25.04,25.049,24.074,24.913,24.919,24.868,23.845,23.889,24.856,24.846,24.9,24.031,24.154,24.931,-0.049508257,23.867,24.398,23.929,23.875,24.29,24.201,24.144,24.153,24.518,24.606,0.023026331,0.008977852,151.653,-9.900000000000001e+37,-9.900000000000001e+37,9.900000000000001e+37,166.523,107.27,24.637,245.809,240.423,23.287,23.816,23.676,368.701,-0.022840512,23.857,23.882,24.013,22.462,22.914,24.273,23.051,23.005,23.353,0.13679475,23.635,23.602,23.926,22.378,17.99,22.179,20.424,23.834,23.275,24.63,21.648,-0.000386542,-0.00044715,-0.000755942,22.841,23.759,23.815,23.068,21.2,23.382,23.231,23.856,24.314,23.925,24.118,-1.714e-07,6.43e-08,-4.28e-08,-1.285e-07,-6.43e-08,-1.5e-07,30.064,21.024,22.797,28.482,47.842,24.61,18.604,26.937,24.888,31.009,48.739,30.522,21.667,26.427,24.63,30.077,46.91,22.722,33.789,49.378,21.62,26.069,23.804,32.143,48.907,16.105,16.136,22.825,23.856,14.842,15.89,14.763,14.977,15.07,15.145,15.851,15.025,14.882,15.453,15.239,15.414,16.529,14.672,15.267,14.797,15.072,15.344,16.469,15.587,14.89,16.528,15.078,14.919,15.17,15.193,16.437,19.337,18.06
08:34,21.934,23.179,23.201,22.757,21.363,23.207,23.128,22.82,22.641,23.362,22.532,23.522,23.416,21.799,23.041,23.827,23.577,29.123,-0.014897536,-0.006453768,0.003313315,0.002688876,23.211,24.692,24.768,22.961,24.473,24.558,24.48,23.394,23.413,24.937,24.966,24.908,23.251,23.313,24.752,-0.000368072,-0.000348164,-0.000667352,21.018,22.364,22.909,22.997,23.327,23.58,23.738,23.728,23.314,23.518,23.137,-0.001184071,0.028645524,-9.900000000000001e+37,21.426,23.108,24.225,-9.900000000000001e+37,-9.900000000000001e+37,-9.900000000000001e+37,81.71,-9.900000000000001e+37,-9.900000000000001e+37,9.900000000000001e+37,9.900000000000001e+37,-9.900000000000001e+37,-0.006900255,22.553,22.634,22.973,22.237,21.851,19.883,22.291,-69.455,17.892,-0.007936834,22.523,22.414,22.798,19.585,19.28,21.24,22.335,323.07,21.557,24.62,21.158,22.993,23.445,-9.900000000000001e+37,23.228,23.447,23.622,23.343,20.414,23.142,23.198,22.909,0.01214363,0.001797117,0.000682393,0.001172567,23.645,24.994,25.052,24.061,24.885,24.881,24.881,23.868,23.859,24.845,24.842,24.902,24.01,24.136,24.932,-0.009574753,23.86,24.339,23.916,23.854,24.267,24.204,24.109,24.055,24.47,24.588,-0.014749113,0.000638043,205.761,228.382,-9.900000000000001e+37,95.26,9.900000000000001e+37,178.489,24.54,88.665,164.195,23.29,23.78,23.643,9.900000000000001e+37,-0.004767359,23.755,23.787,23.989,22.426,22.875,24.281,23.082,22.986,23.311,0.003031178,23.537,23.523,23.932,22.347,17.99,22.193,20.48,23.789,23.258,24.514,21.302,-0.00038798,-0.000455113,-0.000799517,22.813,23.72,23.745,23.018,20.881,23.401,23.136,23.862,24.306,23.877,24.096,-4.28e-08,0.0,-1.285e-07,-2.14e-08,0.0,-2.14e-08,30.25,22.015,22.836,28.638,47.94,24.921,19.129,27.011,25.013,31.147,48.63,30.546,23.057,26.329,24.821,30.135,46.886,23.675,33.859,49.613,21.961,26.043,24.108,32.22,48.622,16.064,16.08,22.477,24.014,14.969,15.873,14.848,15.066,15.085,15.17,15.933,15.085,14.95,15.472,15.254,15.481,16.542,14.791,15.303,14.829,15.107,15.46,16.557,15.589,14.902,16.311,15.09,15.006,15.106,15.205,16.49,19.356,17.915
08:35,21.928,23.193,23.218,22.688,21.44,23.188,23.101,22.77,22.649,23.362,22.564,23.54,23.409,21.843,22.981,23.833,23.202,29.215,0.009757019,-0.005250012,-0.002484823,0.004562086,23.211,24.703,24.799,22.942,24.457,24.513,24.459,23.384,23.4,24.924,24.891,24.906,23.248,23.347,24.755,-0.00037327,-0.000378137,-0.000643242,21.084,22.29,22.864,23.035,23.298,23.556,23.76,23.723,23.33,23.582,23.249,-0.016243301,-0.037583746,45.125,21.429,23.071,24.117,243.212,-61.178,-9.900000000000001e+37,-70.145,232.66,-9.900000000000001e+37,-9.900000000000001e+37,9.900000000000001e+37,-32.261,-0.002395791,22.492,22.581,22.954,22.24,21.891,19.92,22.187,-47.754,17.927,-0.005067908,22.494,22.398,22.788,19.564,19.361,21.258,22.393,-12.112,21.604,24.493,20.836,22.962,23.451,-16.245,23.204,23.458,23.571,23.303,20.824,23.155,23.222,22.863,0.008263051,0.00937844,0.008591199,0.006568901,23.714,24.98,25.037,24.06,24.914,24.846,24.862,23.938,23.86,24.885,24.949,24.936,23.979,24.136,24.971,-0.000165234,23.813,24.358,23.904,23.828,24.248,24.144,24.1,24.15,24.429,24.604,0.045860782,0.018744719,227.18,326.142,-9.900000000000001e+37,-192.889,9.900000000000001e+37,-52.02,24.443,232.576,142.951,23.229,23.745,23.618,334.9,0.004971633,23.674,23.725,23.98,22.445,22.836,24.287,23.076,22.899,23.345,0.035335977,23.487,23.434,23.915,22.356,18.004,22.202,20.469,23.759,23.25,24.376,21.291,-0.000393067,-0.000453344,-0.000793434,22.804,23.715,23.74,22.945,20.965,23.438,23.089,23.811,24.322,23.897,24.053,-2.14e-08,-6.43e-08,-1.285e-07,-2.356e-07,-4.28e-08,-4.28e-08,31.097,23.615,23.51,29.175,47.137,24.735,20.166,27.239,25.279,31.323,48.299,30.874,22.633,26.693,25.775,30.483,46.858,24.703,34.221,49.611,23.338,26.577,25.177,32.608,48.384,16.064,16.212,22.31,22.643,15.302,15.991,14.688,15.091,15.127,15.235,16.076,15.133,15.026,15.595,15.358,15.55,16.636,14.834,15.385,14.871,15.157,15.535,16.676,15.632,14.923,16.45,15.164,15.083,15.034,15.243,16.58,19.425,17.856
08:36,21.95,23.272,23.296,22.739,21.422,23.288,23.171,22.849,22.683,23.295,22.552,23.603,23.358,21.792,23.0,23.871,23.282,29.65,-0.006365732,0.006880568,0.003802825,0.015561685,23.189,24.726,24.799,22.956,24.525,24.6,24.479,23.416,23.4,24.895,24.953,24.957,23.235,23.313,24.732,-0.000400035,-0.000410984,-0.000556753,21.323,22.339,22.872,23.104,23.25,23.532,23.784,23.68,23.303,23.625,23.142,-0.010512851,-0.033035602,-9.900000000000001e+37,21.695,23.071,24.037,101.919,-9.900000000000001e+37,-9.900000000000001e+37,-7.967,9.900000000000001e+37,-9.900000000000001e+37,-9.900000000000001e+37,9.900000000000001e+37,181.841,0.001751661,22.465,22.573,22.999,22.235,21.859,19.941,22.134,-9.900000000000001e+37,18.012,0.014654805,22.48,22.444,22.79,19.593,19.344,21.25,22.3,-9.900000000000001e+37,21.615,24.441,21.204,22.876,23.488,-9.900000000000001e+37,23.188,23.404,23.558,23.348,21.112,23.096,23.214,22.89,0.005587778,0.006880679,0.018877881,0.020260697,23.722,25.005,24.99,24.049,24.932,24.807,24.847,23.963,23.892,24.88,24.919,24.946,23.925,24.134,25.01,0.004383359,23.799,24.369,23.876,23.851,24.199,24.12,24.1,24.185,24.386,24.566,-0.008149245,0.015464358,159.607,9.900000000000001e+37,-17.893,-9.900000000000001e+37,275.079,-5.101,24.322,232.091,-12.353,23.168,23.72,23.582,83.067,0.013303149,23.66,23.627,24.016,22.493,22.813,24.246,23.107,22.921,23.348,-0.022732567,23.473,23.358,23.906,22.386,18.035,22.176,20.477,23.77,23.191,24.293,21.328,-0.000397381,-0.000463851,-0.000786024,22.824,23.704,23.785,22.915,21.027,23.429,23.08,23.772,24.35,23.886,23.993,-6.43e-08,0.0,-1.285e-07,-4.28e-08,0.0,1.285e-07,31.467,23.989,23.897,29.469,47.02,24.978,20.207,27.476,25.358,31.47,48.471,31.249,22.936,27.027,26.705,30.887,46.692,24.753,34.505,49.745,24.476,27.098,25.735,32.957,48.36,16.02,16.221,22.234,22.745,15.39,16.129,14.784,15.226,15.163,15.254,16.16,15.226,14.938,15.658,15.434,15.577,16.723,14.919,15.079,14.991,15.159,15.542,16.791,15.768,15.061,16.515,15.197,15.164,15.178,15.242,16.633,19.452,18.033
08:37,21.937,23.282,23.299,22.7,21.334,23.286,23.171,22.813,22.647,23.286,22.565,23.678,23.438,21.844,23.03,23.852,23.02,29.779,-0.002083461,0.006524219,0.000547684,0.000458652,23.163,24.698,24.788,22.968,24.536,24.621,24.508,23.434,23.408,24.919,24.893,24.952,23.23,23.305,24.729,-0.000388754,-0.000372496,-0.00064479,21.185,22.332,22.832,23.075,23.287,23.516,23.757,23.664,23.3,23.657,23.265,-0.002396123,-0.057028952,29.01,21.519,23.015,23.97,218.885,82.18,-9.900000000000001e+37,-9.900000000000001e+37,9.900000000000001e+37,-9.900000000000001e+37,-9.900000000000001e+37,281.085,297.958,-0.000566265,22.47,22.522,22.975,22.232,21.875,19.997,22.102,-63.961,18.044,0.016537327,22.486,22.43,22.766,19.578,19.369,21.28,22.343,-9.900000000000001e+37,21.61,24.364,21.097,22.967,23.472,-30.845,23.183,23.391,23.553,23.346,21.256,23.123,23.243,22.89,0.003693,0.011875539,0.014150336,0.026103521,23.623,25.04,25.014,24.055,24.992,24.862,24.86,23.92,23.869,24.828,24.919,24.987,23.915,24.102,25.013,0.012856773,23.796,24.334,23.862,23.859,24.22,24.09,24.054,24.199,24.402,24.55,0.001440105,0.028779128,179.58,9.900000000000001e+37,9.900000000000001e+37,-9.900000000000001e+37,-9.900000000000001e+37,-49.503,24.245,330.342,109.92,23.168,23.75,23.587,-9.900000000000001e+37,0.015042314,23.665,23.611,23.98,22.518,22.813,24.208,23.104,22.966,23.314,0.013035057,23.487,23.325,23.89,22.375,18.057,22.171,20.463,23.787,23.194,24.216,21.358,-0.000401031,-0.00046551,-0.000752071,22.841,23.656,23.765,22.859,21.043,23.438,23.105,23.736,24.317,23.905,24.017,-1.285e-07,-2.14e-08,-2.14e-08,-2.14e-08,-1.928e-07,4.28e-08,31.637,20.353,23.852,29.419,47.666,23.969,19.172,27.699,25.719,31.673,48.977,31.592,20.613,27.494,27.358,31.228,47.116,22.432,34.769,50.217,21.48,27.371,25.51,33.197,49.163,16.028,16.291,22.276,22.073,15.475,16.319,14.789,15.27,15.21,15.262,16.229,15.365,14.946,15.658,15.478,15.64,16.821,14.933,15.461,15.094,15.217,15.618,16.886,15.884,15.149,16.55,15.268,15.175,15.252,15.277,16.68,19.513,17.893
08:38,21.891,23.249,23.274,22.697,21.442,23.272,23.16,22.824,22.656,23.364,22.557,23.639,23.416,21.877,23.038,23.841,23.682,30.297,0.006485842,0.008754111,-0.001458798,-0.006899591,23.155,24.708,24.788,22.932,24.493,24.578,24.497,23.357,23.392,24.908,24.956,24.908,23.222,23.302,24.729,-0.000427132,-0.000438302,-0.000623444,21.254,22.332,22.835,23.069,23.274,23.489,23.717,23.654,23.271,23.641,23.251,0.014093267,-0.043649412,384.896,21.607,23.018,23.951,220.544,203.313,24.805,-9.900000000000001e+37,9.900000000000001e+37,-117.857,-9.900000000000001e+37,4.694,158.178,0.008352857,22.454,22.474,22.986,22.213,21.862,19.976,22.11,178.65,18.027,-0.007532965,22.464,22.412,22.766,19.591,19.41,21.282,22.321,-9.900000000000001e+37,21.604,24.288,21.11,22.926,23.453,9.900000000000001e+37,23.172,23.386,23.51,23.308,21.501,23.096,23.193,22.887,0.000727075,0.005945896,0.003002533,-0.000878153,23.621,25.032,24.979,24.055,24.959,24.878,24.841,23.909,23.858,24.842,24.911,24.938,23.918,24.108,24.991,-0.011258286,23.779,24.298,23.86,23.834,24.226,24.076,24.038,24.229,24.356,24.515,0.01281375,0.041267724,182.987,72.4,9.900000000000001e+37,79.687,-9.900000000000001e+37,47.869,24.212,247.201,250.818,23.149,23.758,23.604,-9.900000000000001e+37,0.000817324,23.665,23.611,23.942,22.518,22.833,24.183,23.046,22.921,23.261,0.019012922,23.535,23.392,23.921,22.386,18.123,22.181,20.515,23.828,23.218,24.156,21.456,-0.000403796,-0.000470818,-0.000750301,22.779,23.681,23.761,22.845,21.078,23.378,23.078,23.75,24.291,23.917,24.035,0.0,-1.928e-07,-2.14e-08,-1.714e-07,4.28e-08,-6.43e-08,31.623,19.705,23.623,29.307,47.748,23.246,18.738,27.959,25.977,31.891,49.129,31.815,20.861,27.895,27.727,31.491,46.828,21.283,34.945,50.025,20.472,27.472,25.377,33.439,49.183,15.965,15.873,21.834,22.002,15.489,16.188,14.762,15.33,15.213,15.311,16.256,15.436,15.004,15.702,15.478,15.664,16.813,14.993,15.625,15.189,15.247,15.67,16.924,15.974,15.236,16.621,15.331,15.2,15.37,15.313,16.696,19.524,17.871
